Generation;TotalTime;ExplorationTime;EvaluatorTime;BestPathValue;BestGenPath;AveragePathValue;WorstPathValue;WorstGenPathValue;SuccessfulPathCount;DeadEndCount
1;1234e-03;1090e-03;19e-03;0,6976504;0,6976504;0,06976504;0,6976504;0,6976504;10;0
2;1438e-03;1131e-03;22e-03;0,6976504;0,6946296;0,06946296;0,6946296;0,6946296;10;0
3;1185e-03;779e-03;0e-03;0,6976504;-3,402823E+38;0;0,6946296;3,402823E+38;10;0
4;1218e-03;699e-03;0e-03;0,6976504;-3,402823E+38;0;0,6946296;3,402823E+38;10;0
5;2014e-03;1415e-03;44e-03;0,6989187;0,6989187;0,139683;0,6946296;0,6979116;10;0
6;1441e-03;771e-03;0e-03;0,6989187;-3,402823E+38;0;0,6946296;3,402823E+38;10;0
7;2991e-03;2012e-03;80e-03;0,6990431;0,6990431;0,2095314;0,6946296;0,6978536;10;0
8;2475e-03;1411e-03;48e-03;0,6992889;0,6992889;0,1397864;0,6946296;0,6985754;10;0
9;2091e-03;988e-03;21e-03;0,6992889;0,6977151;0,06977151;0,6946296;0,6977151;10;0
10;2301e-03;1047e-03;23e-03;0,6992889;0,6982684;0,06982684;0,6946296;0,6982684;10;0
Total Execution Time;18393
